tiempo	presion	sonido	sonido rectificado y amplificado
0,292	10,6689	-0,459747	0,73644328
0,293	10,6689	-0,741577	1,041202047
0,294	10,6689	-0,645142	0,853981006
0,295	10,6934	-0,756836	0,93868466
0,296	10,6934	-1,10596	1,314853726
0,297	10,6934	-0,861969	0,925993643
0,298	10,6934	-0,351563	0,228547609
0,299	10,7178	-0,360565	0,224183403
0,3	10,7178	-0,559692	0,457749657
0,301	10,7178	-0,187683	0
0,302	10,7178	0,617981	1,003273787
0,303	10,7178	0,974579	1,384727099
0,304	10,7178	0,644073	0,883332992
0,305	10,7178	0,252991	0,337722406
0,306	10,7178	0,556183	0,694236045
0,307	10,7178	1,04782	1,26390552
0,308	10,7178	0,829773	0,910676607
0,309	10,7178	0,0288391	0,108966903
0,31	10,7178	-0,331726	0,551570049
0,311	10,7178	0,324707	0,264884006
0,312	10,7422	0,951233	1,030141716
0,313	10,7422	0,410461	0,288194366
0,314	10,7422	-0,745239	1,135795057
0,315	10,7422	-1,15707	1,577963062
0,316	10,7422	-0,62088	0,807322581
0,317	10,7422	0,421906	0,50814213
0,318	10,7422	1,1795	1,421950481
0,319	10,7422	0,493469	0,47381131
0,32	10,7422	-0,864716	1,21494702
0,321	10,7422	-1,04401	1,36147051
0,322	10,7422	0,161896	0,192712342
0,323	10,7422	1,80832	2,237377232
0,324	10,7178	3,01544	3,604442037
0,325	10,7178	3,15109	3,546274128
0,326	10,6934	2,38068	2,359186016
0,327	10,6934	1,53366	1,150922349
0,328	10,6689	0,831299	0,199399878
0,329	10,6689	0,202179	0,560785423
0,33	10,6445	0,348053	0,341951098
0,331	10,6445	1,40915	0,96716221
0,332	10,6445	1,85089	1,457311979
0,333	10,6201	0,802612	0,05414223
0,334	10,6201	-1,05804	2,236331264
0,335	10,6201	-2,77054	4,235186789
0,336	10,6201	-3,81683	5,275688018
0,337	10,6201	-3,95737	5,118625127
0,338	10,6201	-3,4845	4,204668288
0,339	10,6201	-2,95929	3,282712051
0,34	10,6201	-2,61673	2,646996532
0,341	10,6201	-2,34436	2,138961698
0,342	10,6201	-2,0726	1,663610134
0,343	10,6201	-2,12265	1,620388289
0,344	10,6201	-1,95007	1,301594653
0,345	10,6201	-1,19385	0,273281412
0,346	10,6201	-0,377197	0,725962252
0,347	10,6201	-1,10855	0,195099188
0,348	10,6201	-2,28439	1,651384108
0,349	10,5957	-3,2666	2,774130447
0,35	10,5957	-3,44223	2,818107553
0,351	10,5957	-1,72913	0,498408997
0,352	10,5713	-0,74173	0,728413601
0,353	10,5713	-1,34293	0,030110612
0,354	10,5713	-2,41226	1,363624569
0,355	10,5469	-3,34076	2,437313874
0,356	10,5469	-3,7796	2,83146629
0,357	10,5469	-2,67014	1,265478379
0,358	10,5469	-0,395966	1,61800811
0,359	10,5469	1,35635	3,705484025
0,36	10,5469	1,58142	3,75274246
0,361	10,5469	0,27771	1,88605656
0,362	10,5469	-1,3974	0,287592005
0,363	10,5713	-2,09229	1,13687793
0,364	10,5713	-1,59622	0,444101646
0,365	10,5713	-0,318604	1,142078721
0,366	10,5713	1,37177	3,182030661
0,367	10,5957	2,95654	4,961803641
0,368	10,5957	4,00955	5,965050187
0,369	10,5957	4,34875	6,012998393
